#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
1,Adilabad,1,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,"11,31,211","8,63,248",76.3 %,"1,15,087",13.3%,AC View
2,Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ramshankar,Bharatiya Janta Party,"15,39,683","6,48,793",42.1 %,"9,715",1.5%,AC View
3,Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,"15,17,951","7,87,153",51.9 %,"46,731",5.9%,AC View
4,Ahmedabad East,7,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"14,11,761","5,97,395",42.3 %,"86,056",14.4%,AC View
5,Ahmedabad West,8,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,"14,31,080","6,90,071",48.2 %,"91,127",13.2%,AC View
6,Ajmer,13,GEN,Rajasthan,Sachin Pilot,Indian National Congress,"14,55,339","7,71,272",53.0 %,"76,135",9.9%,AC View
7,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Rajaram Pal,Indian National Congress,"14,61,050","6,37,264",43.6 %,"32,043",5.0%,AC View
8,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"14,80,606","7,40,014",50.0 %,"64,848",8.8%,AC View
9,Alappuzha,15,GEN,Kerala,K.C Venugopal,Indian National Congress,"11,47,162","9,11,120",79.4 %,"57,635",6.3%,AC View
10,Alathur,9,SC,Kerala,P.K Biju,Communist Party Of India (MARXIST),"11,00,843","8,30,044",75.4 %,"20,960",2.5%,AC View
11,Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Raj Kumari Chauhan,Bahujan Samaj Party,"13,45,351","6,94,110",51.6 %,"16,557",2.4%,AC View
12,Alipurduars,2,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,"12,29,301","9,34,622",76.0 %,"1,12,822",12.1%,AC View
13,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,"12,67,492","5,50,220",43.4 %,"34,920",6.3%,AC View
14,Almora,3,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,"10,57,379","4,81,891",45.6 %,"6,950",1.4%,AC View
15,Alwar,8,GEN,Rajasthan,Jitendra Singh,Indian National Congress,"13,73,384","7,62,306",55.5 %,"1,56,619",20.5%,AC View
16,Amalapuram,24,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,"12,75,287","10,27,127",80.5 %,"40,005",3.9%,AC View
17,Ambala,1,SC,Haryana,Selja,Indian National Congress,"12,64,907","8,66,507",68.5 %,"14,570",1.7%,AC View
18,Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Rakesh Pandey,Bahujan Samaj Party,"14,94,838","8,10,886",54.3 %,"22,736",2.8%,AC View
19,Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"14,31,787","6,46,653",45.2 %,"3,70,198",57.2%,AC View
20,Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"14,23,855","7,32,573",51.5 %,"61,716",8.4%,AC View
21,Amreli,14,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,"13,12,733","5,24,642",40.0 %,"37,317",7.1%,AC View
22,Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,"12,41,099","8,14,503",65.6 %,"6,858",0.8%,AC View
23,Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Devendra Nagpal,Rashtriya Lok Dal,"11,73,915","7,06,599",60.2 %,"92,083",13.0%,AC View
24,Anakapalli,22,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,"13,31,695","10,51,708",79.0 %,"52,912",5.0%,AC View
25,Anand,16,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,"13,97,162","6,76,072",48.4 %,"67,318",10.0%,AC View
26,Anandpur Sahib,6,GEN,Punjab,Ravneet Singh,Indian National Congress,"13,38,596","9,04,606",67.6 %,"67,204",7.4%,AC View
27,Anantapur,36,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,"14,11,460","10,02,775",71.1 %,"77,921",7.8%,AC View
28,Anantnag,3,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,"11,76,223","3,18,726",27.1 %,"5,224",1.6%,AC View
29,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,"2,65,108","1,70,107",64.2 %,"2,990",1.8%,AC View
30,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Menka Gandhi,Bharatiya Janta Party,"13,10,878","7,04,611",53.8 %,"7,681",1.1%,AC View
31,Arakkonam,7,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,"10,98,607","8,54,683",77.8 %,"1,09,796",12.8%,AC View
32,Arambagh,29,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (MARXIST),"13,75,377","11,63,581",84.6 %,"2,01,558",17.3%,AC View
33,Arani,12,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,"10,97,865","8,43,076",76.8 %,"1,06,830",12.7%,AC View
34,Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"13,11,225","7,30,459",55.7 %,"22,502",3.1%,AC View
35,Arrah,32,GEN,Bihar [2000 Onwards],Meena Singh,Janata Dal (United),"15,55,122","5,56,364",35.8 %,"74,720",13.4%,AC View
36,Aruku,18,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,"11,82,514","7,96,043",67.3 %,"1,92,444",24.2%,AC View
37,Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,"3,01,173","2,14,930",71.4 %,"68,449",31.8%,AC View
38,Arunachal West,1,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,"4,33,368","2,85,666",65.9 %,"1,314",0.5%,AC View
39,Asansol,40,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (MARXIST),"12,50,052","8,93,860",71.5 %,"72,956",8.2%,AC View
40,Aska,19,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,"12,86,194","7,01,795",54.6 %,"2,32,834",33.2%,AC View
41,Attingal,19,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),"10,91,432","7,25,168",66.4 %,"18,341",2.5%,AC View
42,Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Janata Dal (United),"13,76,323","5,98,332",43.5 %,"72,058",12.0%,AC View
43,Aurangabad,19,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"14,17,964","5,98,332",42.2 %,"33,014",5.5%,AC View
44,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,"6,93,407","4,80,748",69.3 %,"74,548",15.5%,AC View
45,Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bharatiya Janta Party,"15,78,854","7,05,508",44.7 %,"49,039",7.0%,AC View
46,Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,"14,05,695","7,37,438",52.5 %,"32,542",4.4%,AC View
47,Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"13,63,359","8,59,976",63.1 %,"35,446",4.1%,AC View
48,Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,"12,80,602","6,13,758",47.9 %,"63,027",10.3%,AC View
49,Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"11,79,938","9,53,789",80.8 %,"1,86,977",19.6%,AC View
50,Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Kamal Kishor,Indian National Congress,"12,46,823","5,12,702",41.1 %,"38,953",7.6%,AC View
51,Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],K. D. Deshmukh,Bharatiya Janta Party,"13,39,239","7,56,832",56.5 %,"40,819",5.4%,AC View
52,Balasore,6,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,"12,69,342","8,92,345",70.3 %,"38,900",4.4%,AC View
53,Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Neeraj Shekhar,Samajwadi Party,"16,79,029","6,77,426",40.4 %,"72,555",10.7%,AC View
54,Balurghat,6,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,"10,10,224","8,76,355",86.8 %,"5,105",0.6%,AC View
55,Banaskantha,2,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,"12,96,871","6,46,305",49.8 %,"10,301",1.6%,AC View
56,Banda,48,GEN,Uttar Pradesh [2000 Onwards],R. K. Singh Patel,Samajwadi Party,"13,86,265","6,19,203",44.7 %,"34,593",5.6%,AC View
57,Bangalore Central,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,"19,01,346","8,47,135",44.6 %,"35,218",4.2%,AC View
58,Bangalore North,24,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,"21,44,091","10,01,678",46.7 %,"59,665",6.0%,AC View
59,Bangalore Rural,23,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),"19,04,135","11,03,049",57.9 %,"1,30,275",11.8%,AC View
60,Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"20,31,030","9,08,751",44.7 %,"37,612",4.1%,AC View
61,Bangaon,14,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,"12,46,979","10,78,719",86.5 %,"92,826",8.6%,AC View
62,Banka,27,GEN,Bihar [2000 Onwards],Digvijay Singh,Independent,"13,38,025","6,52,097",48.7 %,"28,716",4.4%,AC View
63,Bankura,36,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"12,68,563","9,85,847",77.7 %,"1,07,802",10.9%,AC View
64,Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"16,63,648","6,49,218",39.0 %,"52,787",8.1%,AC View
65,Banswara,20,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,"14,57,980","7,69,532",52.8 %,"1,99,418",25.9%,AC View
66,Bapatla,32,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,"13,21,607","10,46,640",79.2 %,"69,338",6.6%,AC View
67,Barabanki,53,SC,Uttar Pradesh [2000 Onwards],P.L.Punia,Indian National Congress,"14,22,218","7,43,415",52.3 %,"1,67,913",22.6%,AC View
68,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,"15,93,460","7,34,048",46.1 %,"3,36,831",45.9%,AC View
69,Baramulla,1,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,"10,54,496","4,41,234",41.8 %,"64,814",14.7%,AC View
70,Barasat,17,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,"12,26,654","10,26,860",83.7 %,"1,22,901",12.0%,AC View
71,Bardhaman Purba,38,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (MARXIST),"12,89,311","11,24,896",87.3 %,"59,419",5.3%,AC View
72,Bardoli,23,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,"14,40,215","8,32,705",57.8 %,"58,985",7.1%,AC View
73,Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,"14,01,423","7,05,939",50.4 %,"9,338",1.3%,AC View
74,Bargarh,1,GEN,Orissa,Sanjay Bhoi,Indian National Congress,"13,20,274","9,19,459",69.6 %,"98,444",10.7%,AC View
75,Barmer,17,GEN,Rajasthan,Harish Choudhary,Indian National Congress,"14,41,456","7,86,516",54.6 %,"1,19,106",15.1%,AC View
76,Barpeta,6,GEN,Assam,Ismail Hussain,Indian National Congress,"12,39,607","9,02,287",72.8 %,"30,429",3.4%,AC View
77,Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,"10,81,237","8,70,792",80.5 %,"56,024",6.4%,AC View
78,Basirhat,18,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,"11,98,579","10,38,520",86.7 %,"60,383",5.8%,AC View
