#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,G. Narasimha Reddy,Indian National Congress (I),"6,24,640","3,48,058",55.7 %,"1,81,955",52.3%
2,Adoor,17,GEN,Kerala,P. K. Kodiyan,Communist Party Of India,"6,11,784","3,24,289",53.0 %,"25,399",7.8%
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Indian National Congress (I),"6,36,935","3,43,838",54.0 %,"16,415",4.8%
4,Ahmedabad,10,GEN,Gujarat,Maganbhai Barot,Indian National Congress (I),"6,98,732","4,16,019",59.5 %,"1,08,153",26.0%
5,Ahmednagar,39,GEN,Maharashtra,Athare Chandrabhan Balaji,Indian National Congress (I),"7,07,563","4,25,400",60.1 %,"1,80,214",42.4%
6,Ajmer,12,GEN,Rajasthan,Acharya Bhagwan Dev,Indian National Congress (I),"6,57,873","3,73,721",56.8 %,"43,379",11.6%
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Avadh,Janta Party (SECULAR),"6,98,622","3,73,721",53.5 %,"35,303",9.4%
8,Akola,19,GEN,Maharashtra,Vairale Madhusudan Atmaram,Indian National Congress (I),"6,68,698","3,50,746",52.5 %,"1,04,025",29.7%
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Indra Kumari,Janta Party (SECULAR),"6,75,998","3,39,484",50.2 %,"17,978",5.3%
10,Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,"6,60,771","4,24,426",64.2 %,"1,15,457",27.2%
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Vishwa Nath Pratap Singh,Indian National Congress (I),"7,11,146","3,41,765",48.1 %,"73,025",21.4%
12,Alleppey,15,GEN,Kerala,Suseela Gopalana,Communist Party Of India (MARXIST),"6,46,322","4,22,720",65.4 %,"1,14,764",27.1%
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh,Indian National Congress (I),"6,11,124","2,42,488",39.7 %,"58,682",24.2%
14,Alwar,8,GEN,Rajasthan,Ram Singh Yadav,Indian National Congress (I),"6,65,236","3,23,848",48.7 %,"19,287",6.0%
15,Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishnamurthi,Indian National Congress (I),"6,68,727","4,04,468",60.5 %,"1,21,090",29.9%
16,Ambala,1,SC,Haryana,Suraj Bhan,Janta Party,"6,15,475","4,20,934",68.4 %,"2,295",0.5%
