#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
1,Adilabad,35,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,"11,40,834","8,30,601",72.8 %,"40,974",4.9%,AC View
2,Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,"9,60,122","6,82,227",71.1 %,"54,534",8.0%,AC View
3,Agra,69,GEN,Uttar Pradesh [2000 Onwards],Raj Babbar,Samajwadi Party,"14,30,713","6,42,675",44.9 %,"57,342",8.9%,AC View
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"13,82,793","5,48,391",39.7 %,"77,605",14.2%,AC View
5,Ahmednagar,39,GEN,Maharashtra,Gadakh Tukaram Gangadhar,Nationalist Congress Party,"12,95,593","6,86,554",53.0 %,"75,077",10.9%,AC View
6,Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"12,03,803","5,29,138",44.0 %,"1,27,976",24.2%,AC View
7,Akbarpur,23,GEN,Uttar Pradesh [2000 Onwards],Maya Wati,Bahujan Samaj Party,"14,46,088","7,41,543",51.3 %,"58,269",7.9%,AC View
8,Akola,19,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"12,71,055","7,34,524",57.8 %,"1,06,371",14.5%,AC View
9,Aligarh,72,GEN,Uttar Pradesh [2000 Onwards],Bijendra Singh,Indian National Congress,"13,41,254","6,33,500",47.2 %,"2,791",0.4%,AC View
10,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,45,042","8,37,257",80.1 %,"1,45,124",17.3%,AC View
11,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,"15,58,094","6,56,450",42.1 %,"28,383",4.3%,AC View
12,Alleppey,15,GEN,Kerala,Dr. K. S. Manoj,Communist Party Of India (MARXIST),"9,71,154","7,28,156",75.0 %,"1,009",0.1%,AC View
13,Almora,3,SC,Uttarakhand,Bachi Singh Rawat,Bharatiya Janta Party,"10,12,756","5,04,756",49.8 %,"10,052",2.0%,AC View
14,Alwar,8,GEN,Rajasthan,Dr. Karan Singh Yadav,Indian National Congress,"12,62,622","5,40,451",42.8 %,"8,371",1.5%,AC View
15,Amalapuram,9,SC,Andhra Pradesh,G.V. Harsha Kumar,Indian National Congress,"9,04,207","7,02,715",77.7 %,"41,485",5.9%,AC View
16,Ambala,1,SC,Haryana,Selja,Indian National Congress,"11,99,338","8,47,673",70.7 %,"2,34,935",27.7%,AC View
17,Amethi,21,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"13,24,991","5,89,559",44.5 %,"2,90,853",49.3%,AC View
18,Amravati,21,GEN,Maharashtra,Anant Gudhe,Shiv Sena,"12,04,881","6,75,653",56.1 %,"14,234",2.1%,AC View
19,Amreli,7,GEN,Gujarat,Nilaben Virjibhai Thummar,Indian National Congress,"10,25,515","4,75,548",46.4 %,"2,030",0.4%,AC View
20,Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,"12,92,902","7,11,808",55.1 %,"1,09,532",15.4%,AC View
21,Amroha,2,GEN,Uttar Pradesh [2000 Onwards],Harish Nagpal,Independent,"13,42,541","8,85,155",65.9 %,"17,884",2.0%,AC View
22,Anakapalli,6,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,"10,23,113","7,81,746",76.4 %,"15,414",2.0%,AC View
23,Anand,20,GEN,Gujarat,Solanki Bharatsinh Madhavsinh,Indian National Congress,"11,45,550","5,91,698",51.7 %,"61,085",10.3%,AC View
24,Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,"12,80,923","8,73,370",68.2 %,"73,404",8.4%,AC View
25,Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,"9,98,905","1,46,632",14.7 %,"38,938",26.6%,AC View
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"2,41,645","1,53,804",63.7 %,"30,500",19.8%,AC View
27,Aonla,7,GEN,Uttar Pradesh [2000 Onwards],Kunwar Sarvraj Singh,Janata Dal (United),"11,45,865","5,36,458",46.8 %,"6,871",1.3%,AC View
28,Arakkonam,6,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,"11,60,259","7,73,529",66.7 %,"1,02,196",13.2%,AC View
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"11,87,610","9,61,186",80.9 %,"5,92,502",61.6%,AC View
30,Araria,22,GEN,Bihar [2000 Onwards],Sukdeo Paswan,Bharatiya Janta Party,"11,84,962","6,52,439",55.1 %,"27,744",4.3%,AC View
31,Arrah,33,GEN,Bihar [2000 Onwards],Kanti Singh,Rashtriya Janata Dal,"13,60,794","7,87,780",57.9 %,"1,49,743",19.0%,AC View
32,Arunachal East,2,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"2,89,606","1,62,704",56.2 %,"44,994",27.7%,AC View
33,Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"3,94,428","2,20,618",55.9 %,"47,424",21.5%,AC View
34,Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),"10,92,141","7,24,790",66.4 %,"1,24,318",17.2%,AC View
35,Aska,10,GEN,Orissa,Hari Har Swain,Biju Janata Dal,"12,54,942","6,82,598",54.4 %,"1,32,602",19.4%,AC View
36,Aurangabad,37,GEN,Bihar [2000 Onwards],Nikhil Kumar,Indian National Congress,"14,01,973","7,67,159",54.7 %,"7,460",1.0%,AC View
37,Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"16,36,117","9,11,532",55.7 %,"1,21,923",13.4%,AC View
38,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,"5,79,284","4,01,612",69.3 %,"24,129",6.0%,AC View
39,Azamgarh,41,SC,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bahujan Samaj Party,"14,25,023","7,11,356",49.9 %,"6,968",1.0%,AC View
40,Badagara,3,GEN,Kerala,P. Satheedevi,Communist Party Of India (MARXIST),"10,92,826","8,26,054",75.6 %,"1,30,589",15.8%,AC View
