#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
1,Adilabad,30,GEN,Andhra Pradesh,K. Ashanna,Indian National Congress,"3,65,889","1,76,662",48.3 %
2,Adoni,22,GEN,Andhra Pradesh,Pendekanti Venkata Subbaiah,Indian National Congress,"3,93,171","1,17,937",30.0 %
3,Agra,320,GEN,Uttar Pradesh [1947 - 1999],Seth Achal Singh,Indian National Congress,"3,92,127","2,20,877",56.3 %
4,Ahmedabad,102,GEN,Bombay,Yagnik Indulal Kanaiyalal,Independent,"6,99,036","9,42,069",67.4 %
5,Ahmedabad,102,GEN,Bombay,Parmar Karsandas Ukabhai,Independent,"6,99,036","9,42,069",67.4 %
6,Ahmednagar,127,GEN,Bombay,Khadilakar Raghunath Keshav,Independent,"3,39,802","1,63,580",48.1 %
7,Ajmer,291,GEN,Rajasthan,Mukat Behari Lal,Indian National Congress,"3,79,476","1,76,072",46.4 %
8,Akola,135,GEN,Bombay,Khedkar Gopalrao Bajirao,Indian National Congress,"7,79,310","9,71,850",62.4 %
9,Akola,135,GEN,Bombay,Bhatkar Laxman Shrawan,Indian National Congress,"7,79,310","9,71,850",62.4 %
10,Aligarh,318,GEN,Uttar Pradesh [1947 - 1999],Nardeo,Indian National Congress,"8,75,458","8,82,486",50.4 %
11,Aligarh,318,GEN,Uttar Pradesh [1947 - 1999],A. J. Y. Khwaja,Indian National Congress,"8,75,458","8,82,486",50.4 %
12,Allahabad,333,GEN,Uttar Pradesh [1947 - 1999],Lal Bahadur,Indian National Congress,"4,15,162","2,13,814",51.5 %
13,Almora,298,GEN,Uttar Pradesh [1947 - 1999],Har Govind,Indian National Congress,"3,74,895","89,971",24.0 %
14,Alwar,284,GEN,Rajasthan,Shobha Ram,Indian National Congress,"3,96,427","1,80,679",45.6 %
15,Ambala,264,GEN,Punjab,Subhdra Joshi,Indian National Congress,"7,88,454","9,20,446",58.4 %
16,Ambala,264,GEN,Punjab,Chuni Lal,Indian National Congress,"7,88,454","9,20,446",58.4 %
17,Ambalapuzha,152,GEN,Kerala,"Punnoose, P. T.",Communist Party Of India,"4,31,468","3,24,471",75.2 %
18,Amravati,136,GEN,Bombay,Deshmukh Panjabrao Shamrao,Indian National Congress,"4,07,788","2,56,779",63.0 %
19,Amritsar,273,GEN,Punjab,Gurmukh Singh Musafir,Indian National Congress,"4,14,205","2,59,509",62.7 %
20,Amroha,309,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rahman,Indian National Congress,"3,96,101","1,89,453",47.8 %
21,Anand,104,GEN,Bombay,Patel Maniben Vallabbhai,Indian National Congress,"4,20,787","2,83,003",67.3 %
22,Anantapur,20,GEN,Andhra Pradesh,T. Nagi Reddy,Communist Party Of India,"4,23,056","1,94,554",46.0 %
23,Angul,260,GEN,Orissa,Badkumar Pratap Ganga Deb,Ganatantra Parishad,"4,05,988","1,47,667",36.4 %
24,Asansol,374,GEN,West Bengal,Mono Mohan Das,Indian National Congress,"7,90,322","6,29,589",39.8 %
25,Asansol,374,GEN,West Bengal,Atulya Ghosh,Indian National Congress,"7,90,322","6,29,589",39.8 %
26,Aurangabad,78,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,"3,55,668","1,41,292",39.7 %
27,Aurangabad,148,GEN,Bombay,Tirth Swami Ramanand,Indian National Congress,"3,76,048","1,33,713",35.6 %
28,Autonomous Districts,37,ST,Assam,"Hynniewta, Hoover",Independent,"3,93,735","1,17,177",29.8 %
