#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,P.G. Reddy,Indian National Congress,"4,65,742","2,84,595",61.1 %,"74,250",26.1%
2,Adoor,493,SC,Kerala,P. C. Adichan,Communist Party Of India,"4,41,409","3,56,004",80.7 %,"76,398",21.5%
3,Agra,425,GEN,Uttar Pradesh [1947 - 1999],S.A. Singh,Indian National Congress,"4,81,694","2,97,605",61.8 %,"27,733",9.3%
4,Ahmedabad,117,GEN,Gujarat,I.Yagnik,Independent,"4,74,589","3,22,026",67.9 %,"84,797",26.3%
5,Ahmednagar,259,GEN,Maharashtra,A. V. Patil,Indian National Congress,"4,67,945","2,88,801",61.7 %,"50,640",17.5%
6,Ajmer,340,GEN,Rajasthan,V. N Bhargava,Indian National Congress,"4,89,607","3,11,107",63.5 %,"37,221",12.0%
7,Akbarpur,378,SC,Uttar Pradesh [1947 - 1999],R. J. Ram,Republican Party Of India,"4,96,721","2,85,132",57.4 %,"3,526",1.2%
8,Akola,241,GEN,Maharashtra,K. M. A. H. Sardarkhan,Indian National Congress,"5,13,828","3,63,451",70.7 %,"46,295",12.7%
9,Aligarh,428,GEN,Uttar Pradesh [1947 - 1999],S.K. Shastri,Independent,"5,14,626","2,92,538",56.8 %,"18,554",6.3%
10,Alipore,454,GEN,West Bengal,I. Gupta,Communist Party Of India,"5,65,727","3,85,961",68.2 %,587,0.2%
11,Allahabad,408,GEN,Uttar Pradesh [1947 - 1999],H. Krishna,Indian National Congress,"4,70,006","2,43,634",51.8 %,"16,544",6.8%
12,Almora,355,GEN,Uttar Pradesh [1947 - 1999],J. B. Singh,Indian National Congress,"4,55,152","1,32,646",29.1 %,"10,634",8.0%
13,Alwar,336,GEN,Rajasthan,B. Nath,Indian National Congress,"5,13,318","3,15,612",61.5 %,"34,586",11.0%
14,Amalapuram,9,SC,Andhra Pradesh,S. Bayya,Indian National Congress,"5,18,486","3,58,480",69.1 %,"63,266",17.6%
15,Ambala,133,SC,Haryana,S. Bhan,Bhartiya Jan Sangh,"4,59,451","3,29,601",71.7 %,"8,700",2.6%
16,Ambalapuzha,491,GEN,Kerala,S. Gopalan,Communist Party Of India (MARXIST),"4,58,181","3,71,238",81.0 %,"50,277",13.5%
17,Amethi,376,GEN,Uttar Pradesh [1947 - 1999],V. D. Bajpai,Indian National Congress,"5,05,259","1,88,666",37.3 %,"3,665",1.9%
18,Amravati,242,GEN,Maharashtra,K. G. Deshmukh,Indian National Congress,"5,21,799","3,60,626",69.1 %,"21,074",5.8%
19,Amreli,114,GEN,Gujarat,J.V. Shah,Indian National Congress,"4,52,378","2,38,406",52.7 %,"49,588",20.8%
20,Amritsar,320,GEN,Punjab,Y.D. Sharma,Bhartiya Jan Sangh,"4,59,126","3,42,292",74.6 %,"11,275",3.3%
21,Amroha,358,GEN,Uttar Pradesh [1947 - 1999],I. Sambhali,Communist Party Of India,"4,88,603","2,94,719",60.3 %,"4,057",1.4%
22,Anakapalli,6,GEN,Andhra Pradesh,M. Suryanarayanamurthy,Indian National Congress,"5,33,479","3,79,471",71.1 %,"3,024",0.8%
23,Anand,126,GEN,Gujarat,N.R. Mahida,Indian National Congress,"4,64,136","3,54,263",76.3 %,"21,222",6.0%
24,Anantapur,25,GEN,Andhra Pradesh,P. A. Reddy,Indian National Congress,"5,03,317","3,50,828",69.7 %,"62,614",17.8%
25,Anantnag,144,GEN,Jammu & Kashmir,M.S. Qureshi,Indian National Congress,1,RU,NA,RU,NA
26,Andaman Nicobar,497,GEN,Andaman & Nicobar Islands,K. R. Ganesh,Indian National Congress,"47,064","36,924",78.5 %,"10,040",27.2%
27,Angul,316,GEN,Orissa,D. Deblal,Swatantra,"4,81,556","1,76,034",36.6 %,"31,521",17.9%
28,Aonla,362,GEN,Uttar Pradesh [1947 - 1999],S. Shyam,Indian National Congress,"5,13,149","2,82,035",55.0 %,"1,132",0.4%
29,Arambagh,463,GEN,West Bengal,A. Bose,Forward Bloc,"4,87,962","3,47,927",71.3 %,"82,022",23.6%
30,Araria,75,SC,Bihar [1947 - 1999],T. M. Ram,Indian National Congress,"4,69,809","2,43,643",51.9 %,"70,649",29.0%
31,Asansol,473,GEN,West Bengal,D. Sen,Samyukta Socialist Party,"4,43,945","2,55,556",57.6 %,"6,992",2.7%
32,Aurangabad,95,GEN,Bihar [1947 - 1999],M. Singh,Indian National Congress,"5,57,937","2,57,360",46.1 %,"57,679",22.4%
33,Aurangabad,254,GEN,Maharashtra,B. D. Deshmukh,Indian National Congress,"4,81,505","2,60,459",54.1 %,"83,464",32.0%
34,Ausgram,472,SC,West Bengal,B. Das,Communist Party Of India (MARXIST),"5,25,272","3,08,908",58.8 %,"8,858",2.9%
35,Autonomous Dists,44,ST,Assam,G. G. Swell,All Party Hill Leaders Conference,"3,71,287","1,90,841",51.4 %,"41,673",21.8%
36,Azamgarh,397,GEN,Uttar Pradesh [1947 - 1999],C. Jeet,Indian National Congress,"4,95,837","2,50,853",50.6 %,"21,153",8.4%
37,Badagara,480,GEN,Kerala,A. Sreedharan,Samyukta Socialist Party,"4,63,046","3,45,034",74.5 %,"1,00,503",29.1%
38,Bagaha,56,SC,Bihar [1947 - 1999],B. Raut,Indian National Congress,"4,78,691","1,97,351",41.2 %,"50,710",25.7%
39,Bagalkot,294,GEN,Mysore,S. B. Patil,Indian National Congress,"4,72,138","3,16,256",67.0 %,"1,25,680",39.7%
40,Baghpat,433,GEN,Uttar Pradesh [1947 - 1999],R.S. Shastri,Independent,"5,11,368","3,25,439",63.6 %,"87,558",26.9%
41,Bahraich,383,GEN,Uttar Pradesh [1947 - 1999],K. K. Nayar,Bhartiya Jan Sangh,"4,86,826","2,20,678",45.3 %,"46,632",21.1%
42,Balaghat,167,GEN,Madhya Pradesh [1947 - 1999],C.R. Gautam,Indian National Congress,"4,68,694","2,66,751",56.9 %,"77,217",28.9%
43,Balasore,298,GEN,Orissa,S. Kundu,Praja Socialist Party,"4,61,490","2,38,786",51.7 %,"35,369",14.8%
44,Ballia,395,GEN,Uttar Pradesh [1947 - 1999],C. Prasad,Indian National Congress,"5,04,162","2,55,547",50.7 %,"19,713",7.7%
45,Balrampur,384,GEN,Uttar Pradesh [1947 - 1999],A. Behari,Bhartiya Jan Sangh,"5,34,711","2,95,579",55.3 %,"31,742",10.7%
46,Balurghat,442,SC,West Bengal,J.N.Pramanik,Indian National Congress,"4,55,601","2,97,118",65.2 %,"23,449",7.9%
47,Banaskantha,121,GEN,Gujarat,M. Amersey,Swatantra,"4,27,762","2,44,894",57.3 %,"4,407",1.8%
48,Banda,411,GEN,Uttar Pradesh [1947 - 1999],Jageshwar,Communist Party Of India,"5,13,136","2,44,997",47.8 %,"7,469",3.0%
49,Bangalore,279,GEN,Mysore,K. Hanumanthiah,Indian National Congress,"5,41,271","2,82,182",52.1 %,"50,620",17.9%
50,Banka,82,GEN,Bihar [1947 - 1999],B. S. Sharma,Bhartiya Jan Sangh,"5,13,057","2,62,446",51.2 %,"17,567",6.7%
51,Bankura,470,GEN,West Bengal,J. M. Biswas,Communist Party Of India,"5,20,725","2,73,639",52.6 %,"29,770",10.9%
52,Bansgaon,389,SC,Uttar Pradesh [1947 - 1999],Molahu,Samyukta Socialist Party,"4,93,512","2,27,407",46.1 %,"8,606",3.8%
53,Banswara,344,ST,Rajasthan,Hirji,Indian National Congress,"4,90,355","3,51,174",71.6 %,"32,629",9.3%
54,Bara Banki,381,GEN,Uttar Pradesh [1947 - 1999],R. S. Yadav,Samyukta Socialist Party,"5,41,714","3,01,217",55.6 %,"13,374",4.4%
55,Baramati,263,GEN,Maharashtra,T. S. Jadhav,Indian National Congress,"4,49,494","2,83,908",63.2 %,"94,573",33.3%
56,Baramulla,142,GEN,Jammu & Kashmir,S.A. Agha,Indian National Congress,"3,67,400","1,88,657",51.4 %,"20,515",10.9%
57,Barasat,449,GEN,West Bengal,R. N. Sen,Communist Party Of India,"4,93,226","3,65,429",74.1 %,"32,571",8.9%
58,Bareilly,363,GEN,Uttar Pradesh [1947 - 1999],B. B. Lal,Bhartiya Jan Sangh,"4,67,013","2,84,608",60.9 %,"40,648",14.3%
59,Barh,89,GEN,Bihar [1947 - 1999],T. Sinha,Indian National Congress,"5,83,769","3,28,482",56.3 %,"27,454",8.4%
60,Barmer,350,GEN,Rajasthan,A. Nahta,Indian National Congress,"5,26,696","2,26,254",43.0 %,"29,933",13.2%
61,Baroda,127,GEN,Gujarat,P.C. Patel,Swatantra,"4,47,095","3,04,363",68.1 %,"22,317",7.3%
62,Barpeta,47,GEN,Assam,F. A. Ahmed,Indian National Congress,"4,13,057","3,01,065",72.9 %,"58,320",19.4%
63,Barrackpore,455,GEN,West Bengal,M. Ismail,Communist Party Of India (MARXIST),"5,98,939","4,24,548",70.9 %,"25,912",6.1%
64,Basirhat,450,GEN,West Bengal,H. Kabir,Bangla Congress,"4,96,679","3,53,335",71.1 %,"1,41,639",40.1%
65,Bastar,164,ST,Madhya Pradesh [1947 - 1999],J. Sundarlal,Independent,"4,27,235","2,14,777",50.3 %,"17,267",8.0%
66,Basti,386,SC,Uttar Pradesh [1947 - 1999],S. Narain,Indian National Congress,"4,90,438","2,41,686",49.3 %,"18,790",7.8%
67,Begusarai,87,GEN,Bihar [1947 - 1999],Y. Sharma,Communist Party Of India,"5,69,752","3,54,259",62.2 %,"88,702",25.0%
68,Belgaum,292,GEN,Mysore,N. M. Nabisab,Indian National Congress,"4,77,375","3,28,642",68.8 %,"1,22,317",37.2%
69,Bellary,273,GEN,Mysore,V. K. R. V. Rao,Indian National Congress,"4,99,874","3,37,391",67.5 %,"24,380",7.2%
70,Berhampore,446,GEN,West Bengal,T. Chaudhuri,Independent,"5,18,033","3,29,355",63.6 %,"8,628",2.6%
71,Bettiah,58,GEN,Bihar [1947 - 1999],K. N. Tiwari,Indian National Congress,"4,84,032","2,39,262",49.4 %,"45,483",19.0%
72,Betul,173,GEN,Madhya Pradesh [1947 - 1999],S.N. Kumar,Indian National Congress,"5,05,649","2,42,985",48.1 %,"13,899",5.7%
73,Bhadrachalam,5,ST,Andhra Pradesh,B.K. Radhabai,Indian National Congress,"4,65,192","2,46,715",53.0 %,"67,235",27.3%
74,Bhadrak,299,SC,Orissa,D. Jena,Independent,"5,47,557","3,10,129",56.6 %,"21,097",6.8%
75,Bhagalpur,83,GEN,Bihar [1947 - 1999],B. J. Azad,Indian National Congress,"5,38,207","3,02,401",56.2 %,"34,814",11.5%
76,Bhandara,245,GEN,Maharashtra,A. R. Mehata,Indian National Congress,"5,30,880","3,66,499",69.0 %,"55,872",15.2%
