#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,Allola Indrakaran Reddy,Telugu Desam,"8,90,080","5,26,729",59.2 %,"39,976",7.6%
2,Adoor,17,GEN,Kerala,Kodikunnil Suresh,Indian National Congress,"9,00,486","6,68,474",74.2 %,"18,595",2.8%
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shanker Rawat,Bharatiya Janta Party,"9,19,975","4,19,562",45.6 %,"63,126",15.0%
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"10,51,781","4,00,753",38.1 %,"91,885",22.9%
5,Ahmednagar,39,GEN,Maharashtra,Gadakh Yeshawantrao,Indian National Congress,"10,01,165","6,14,922",61.4 %,"11,637",1.9%
6,Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"9,63,531","4,38,424",45.5 %,"25,343",5.8%
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Awadh,Janata Dal,"9,60,334","5,10,146",53.1 %,156,0.0%
8,Akola,19,GEN,Maharashtra,Fundkar Pandurang Pundlik,Bharatiya Janta Party,"9,49,409","5,17,461",54.5 %,"45,113",8.7%
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Shila Devi Gautam (W),Bharatiya Janta Party,"9,34,243","4,71,658",50.5 %,"12,475",2.6%
10,Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,"9,18,815","7,11,036",77.4 %,"1,30,112",18.3%
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Saroj Dubey (W),Janata Dal,"9,84,299","3,99,424",40.6 %,"5,196",1.3%
12,Alleppey,15,GEN,Kerala,T.J. Anjalose,Communist Party Of India (MARXIST),"9,44,397","7,41,369",78.5 %,"14,075",1.9%
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Jeewan,Bharatiya Janta Party,"8,54,910","3,42,964",40.1 %,"29,145",8.5%
14,Alwar,8,GEN,Rajasthan,Mahendra Kumari (W),Bharatiya Janta Party,"9,62,311","4,22,740",43.9 %,"1,03,406",24.5%
15,Amalapuram,9,SC,Andhra Pradesh,Balayogi G.M.C.,Telugu Desam,"8,36,319","5,27,366",63.1 %,"87,487",16.6%
16,Ambala,1,SC,Haryana,Ram Prakash,Indian National Congress,"9,12,390","6,53,526",71.6 %,"71,942",11.0%
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,"9,18,257","3,76,202",41.0 %,"1,12,085",29.8%
18,Amravati,21,GEN,Maharashtra,Pratibha Devisinha Patil (W),Indian National Congress,"9,39,913","4,25,509",45.3 %,"55,481",13.0%
19,Amreli,7,GEN,Gujarat,Dilipbhai Sanghani,Bharatiya Janta Party,"8,23,941","4,02,769",48.9 %,"96,601",24.0%
20,Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,"10,17,957","2,47,378",24.3 %,"57,353",23.2%
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chetan Chauhan,Bharatiya Janta Party,"9,25,377","5,65,325",61.1 %,"57,877",10.2%
22,Anakapalli,6,GEN,Andhra Pradesh,Konathala Ramakrishna,Indian National Congress,"8,94,732","6,03,706",67.5 %,"11,158",1.8%
23,Anand,20,GEN,Gujarat,Chavda Ishvarbhai Khodabhai,Indian National Congress,"9,11,580","4,57,804",50.2 %,"36,039",7.9%
24,Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Reddy,Indian National Congress,"10,16,053","6,28,105",61.8 %,"1,62,284",25.8%
25,Anantnag,3,GEN,Jammu & Kashmir,Data Not Available,-,-,-,-,-,-
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"1,69,120","1,08,822",64.4 %,"6,701",6.2%
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Rajveer Singh,Bharatiya Janta Party,"8,22,940","4,30,997",52.4 %,"72,480",16.8%
28,Arakkonam,6,SC,Tamil Nadu,Jeevarathinam R.,Indian National Congress,"9,68,764","6,70,706",69.2 %,"1,76,710",26.3%
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"9,76,896","8,10,177",82.9 %,"1,48,272",18.3%
30,Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Janata Dal,"9,20,630","5,53,024",60.1 %,"1,70,994",30.9%
31,Arrah,36,GEN,Bihar [1947 - 1999],Ram Lakhan Singh Yadav,Janata Dal,"10,70,495","6,89,440",64.4 %,"55,348",8.0%
32,Arunachal East,2,GEN,Arunachal Pradesh,Laeta Umbrey,Indian National Congress,"2,12,830","1,19,376",56.1 %,"47,863",40.1%
33,Arunachal West,1,GEN,Arunachal Pradesh,Prem Khandu Thungon,Indian National Congress,"3,06,485","1,46,948",48.0 %,"67,581",46.0%
34,Asansol,38,SC,West Bengal,Haradhan Roy,Communist Party Of India (MARXIST),"11,26,207","7,22,290",64.1 %,"94,858",13.1%
35,Aska,10,GEN,Orissa,Ramachandra Rath,Indian National Congress,"9,95,423","4,97,960",50.0 %,"29,764",6.0%
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Ram Naresh Singh,Janata Dal,"9,78,604","4,94,615",50.5 %,"52,856",10.7%
37,Aurangabad,33,GEN,Maharashtra,Moreshwar Save,Shiv Sena,"12,05,538","5,83,145",48.4 %,"82,419",14.1%
38,Autonomous District,3,ST,Assam,Jayanta Rongpi,Autonomous State Demand Committee,"4,39,888","3,14,973",71.6 %,"57,781",18.3%
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Chandra Jeet,Janata Dal,"9,81,903","4,86,272",49.5 %,"46,633",9.6%
40,Badagara,3,GEN,Kerala,Unnikrishnan K.P. (SCS),Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),"10,30,244","8,00,229",77.7 %,"17,489",2.2%
41,Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Janata Dal,"8,74,889","3,97,126",45.4 %,"48,575",12.2%
42,Bagalkot,27,GEN,Karnataka,Siddappa Bhimappa Nyamagoudar,Indian National Congress,"9,52,600","6,12,827",64.3 %,"21,204",3.5%
43,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Ajit Singh,Janata Dal,"9,37,210","4,82,277",51.5 %,"1,97,108",40.9%
