#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,S. Venugopala Chary,Telugu Desam,"10,72,962","6,87,157",64.0 %,"37,360",5.4%
2,Adoor,17,GEN,Kerala,Kodikkunnil Suresh,Indian National Congress,"9,40,100","6,81,578",72.5 %,"65,545",9.6%
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shankar Rawat,Bharatiya Janta Party,"11,93,804","5,17,028",43.3 %,"84,568",16.4%
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"12,79,854","3,52,150",27.5 %,"98,517",28.0%
5,Ahmednagar,39,GEN,Maharashtra,Maruti Deoram Alias Dada Patil Shelke,Indian National Congress,"11,08,983","5,69,866",51.4 %,"49,409",8.7%
6,Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"10,58,086","4,49,205",42.5 %,"38,132",8.5%
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ghanshyam Chandra Kharwar,Bahujan Samaj Party,"12,91,142","6,34,392",49.1 %,"24,567",3.9%
8,Akola,19,GEN,Maharashtra,Phundkar Pandurang Pundlik,Bharatiya Janta Party,"10,75,426","6,47,675",60.2 %,"9,053",1.4%
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,"12,52,135","5,09,245",40.7 %,"91,048",17.9%
10,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,00,857","8,54,456",85.4 %,"1,37,810",16.1%
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar Joshi,Bharatiya Janta Party,"13,91,585","5,16,276",37.1 %,"1,03,523",20.1%
12,Alleppey,15,GEN,Kerala,V M Sudheeran,Indian National Congress,"9,73,861","7,58,374",77.9 %,"25,949",3.4%
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,"9,33,731","4,05,090",43.4 %,"56,906",14.0%
14,Alwar,8,GEN,Rajasthan,Nawal Kishore,Indian National Congress,"11,32,574","4,38,479",38.7 %,"2,433",0.6%
15,Amalapuram,9,SC,Andhra Pradesh,K.S.R Murthy,Indian National Congress,"9,08,492","6,37,642",70.2 %,"29,131",4.6%
16,Ambala,1,SC,Haryana,Suraj Bhan,Bharatiya Janta Party,"10,98,767","8,24,298",75.0 %,"87,147",10.6%
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Satish Sharma,Indian National Congress,"11,02,927","4,26,913",38.7 %,"40,143",9.4%
18,Amravati,21,GEN,Maharashtra,Gudhe Anantrao Mahadeoappa,Shiv Sena,"10,99,720","5,51,610",50.2 %,"58,631",10.6%
19,Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,"8,05,749","3,63,412",45.1 %,"1,08,369",29.8%
20,Amritsar,2,GEN,Punjab,Raghnandan Lal Bhatia,Indian National Congress,"11,34,857","6,67,780",58.8 %,"33,672",5.0%
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Pratap Singh,Samajwadi Party,"11,83,008","6,74,418",57.0 %,"47,600",7.1%
22,Anakapalli,6,GEN,Andhra Pradesh,Ayyanna Paurudu Chintakayala,Telugu Desam,"10,37,055","7,01,725",67.7 %,"50,172",7.1%
23,Anand,20,GEN,Gujarat,Chavda Ishwarbhai Khodabhai,Indian National Congress,"10,17,223","3,71,592",36.5 %,"31,732",8.5%
24,Anantapur,25,GEN,Andhra Pradesh,Anantha Venkatarami Reddy,Indian National Congress,"12,14,517","6,56,251",54.0 %,"78,859",12.0%
25,Anantnag,3,GEN,Jammu & Kashmir,Mohamad Maqbool,Janata Dal,"7,64,670","3,83,861",50.2 %,"58,084",15.1%
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"2,11,226","1,30,918",62.0 %,"43,545",33.3%
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kunwar Sarvraj Singh,Samajwadi Party,"10,09,939","4,87,473",48.3 %,"6,792",1.4%
28,Arakkonam,6,SC,Tamil Nadu,Velu.A.M,Tamil Maanila Congress (MOOPANAR),"10,34,646","7,57,483",73.2 %,"2,64,845",35.0%
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"10,67,420","9,31,653",87.3 %,"2,26,333",24.3%
30,Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Janata Dal,"10,49,489","5,94,913",56.7 %,"48,278",8.1%
