#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,C. Madhav Reddy,Telugu Desam,"7,00,294","4,44,854",63.5 %,"54,558",12.3%
2,Adoor,17,GEN,Kerala,K. K. Kunhambu,Indian National Congress,"6,74,208","5,10,084",75.7 %,"50,972",10.0%
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Indian National Congress,"6,39,657","3,47,677",54.4 %,"39,677",11.4%
4,Ahmedabad,10,GEN,Gujarat,Haroobhai Mehta,Indian National Congress,"7,66,276","4,64,021",60.6 %,"33,137",7.1%
5,Ahmednagar,39,GEN,Maharashtra,Gadakh Yeshwantrao Kankarrao,Indian National Congress,"7,71,205","4,93,400",64.0 %,"1,00,323",20.3%
6,Ajmer,12,GEN,Rajasthan,Vishnu Kumar Modi,Indian National Congress,"7,42,253","4,39,364",59.2 %,"56,694",12.9%
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Piyare Suman,Indian National Congress,"7,56,377","4,43,149",58.6 %,"69,621",15.7%
8,Akola,19,GEN,Maharashtra,Madhusudan Atmaram Vairale,Indian National Congress,"7,36,060","5,24,199",71.2 %,"13,810",2.6%
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Usha Rani,Indian National Congress,"7,35,424","4,05,725",55.2 %,"1,02,231",25.2%
10,Alipurduars,2,ST,West Bengal,Pijus Tirkey,Revolutionary Socialist Party,"7,36,742","5,57,382",75.7 %,"30,182",5.4%
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Amitabh Bachchan,Indian National Congress,"7,77,652","4,44,552",57.2 %,"1,87,795",42.2%
12,Alleppey,15,GEN,Kerala,Vakkon Purushothaman,Indian National Congress,"7,01,138","5,89,117",84.0 %,"37,764",6.4%
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh,Indian National Congress,"6,70,370","3,11,757",46.5 %,"1,40,332",45.0%
14,Alwar,8,GEN,Rajasthan,Ram Singh Yadev,Indian National Congress,"7,51,298","4,20,251",55.9 %,"1,25,531",29.9%
15,Amalapuram,9,SC,Andhra Pradesh,Aithabathula Jogeswara Venkata Buthci Maheswara Rao,Telugu Desam,"6,94,686","5,27,427",75.9 %,"1,19,731",22.7%
16,Ambala,1,SC,Haryana,Ram Prakash,Indian National Congress,"6,94,840","4,85,364",69.9 %,"1,77,352",36.5%
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,"7,40,782","4,46,289",60.3 %,"3,14,878",70.6%
18,Amravati,21,GEN,Maharashtra,Choudhary Ushatai Prakash,Indian National Congress,"7,02,357","4,28,343",61.0 %,"1,21,746",28.4%
19,Amreli,7,GEN,Gujarat,Ravani Navinchandrabhai Parmananddas,Indian National Congress,"6,42,376","4,07,128",63.4 %,"37,868",9.3%
20,Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,"8,57,357","5,33,719",62.3 %,"1,05,064",19.7%
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Indian National Congress,"7,02,442","4,65,335",66.3 %,"17,277",3.7%
22,Anakapalli,6,GEN,Andhra Pradesh,Appalanarasimham P.,Telugu Desam,"7,44,527","5,05,324",67.9 %,"1,74,816",34.6%
23,Anand,20,GEN,Gujarat,Ishverbhai Khodabhai Chavada,Indian National Congress,"7,26,873","5,02,507",69.1 %,"75,173",15.0%
24,Anantapur,25,GEN,Andhra Pradesh,Devineni Narayana Swamy,Telugu Desam,"7,98,271","5,22,936",65.5 %,"1,08,649",20.8%
25,Anantnag,3,GEN,Jammu & Kashmir,Akbar Jahan Begum,Jammu & Kashmir National Conference,"6,11,518","4,28,548",70.1 %,"82,010",19.1%
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"1,15,565","91,093",78.8 %,"19,136",21.0%
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kalyan Singh Solanki,Indian National Congress,"6,56,877","3,26,169",49.7 %,"52,823",16.2%
28,Arakkonam,6,SC,Tamil Nadu,R. Jeevarathinam,Indian National Congress,"7,57,665","5,92,913",78.3 %,"60,942",10.3%
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"7,68,645","6,59,108",85.8 %,"14,160",2.1%
30,Araria,22,SC,Bihar [1947 - 1999],Doomar Lal Baitha,Indian National Congress,"7,91,489","4,72,148",59.7 %,"1,98,886",42.1%
31,Arrah,36,GEN,Bihar [1947 - 1999],Bali Ram Bhagat,Indian National Congress,"8,90,008","4,32,394",48.6 %,"1,54,922",35.8%
32,Arunachal East,2,GEN,Arunachal Pradesh,Wangpha Lowang,Indian National Congress,"1,35,879","1,00,234",73.8 %,"19,215",19.2%
33,Arunachal West,1,GEN,Arunachal Pradesh,P.K.Thangon,Indian National Congress,"1,83,170","1,40,528",76.7 %,461,0.3%
34,Asansol,38,SC,West Bengal,Anada Gopal Mukherjee,Indian National Congress,"8,93,685","6,25,065",69.9 %,"86,666",13.9%
35,Aska,10,GEN,Orissa,Somnath Rath,Indian National Congress,"7,68,077","4,13,689",53.9 %,"1,18,044",28.5%
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,"8,26,531","4,86,447",58.9 %,"1,66,035",34.1%
37,Aurangabad,33,GEN,Maharashtra,Sahebrao P.Dongaonkar,Indian Congress (SOCIALIST),"8,49,481","4,99,332",58.8 %,"92,419",18.5%
38,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,"3,30,649","2,20,485",66.7 %,"14,551",6.6%
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Singh,Indian National Congress,"7,60,683","4,25,385",55.9 %,"2,786",0.7%
