#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,Dr.S.Venugopala Chary,Telugu Desam,"10,78,788","7,52,835",69.8 %,"33,534",4.5%
2,Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,"9,67,961","6,91,309",71.4 %,"17,005",2.5%
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shankar Rawat,Bharatiya Janta Party,"12,24,534","6,60,263",53.9 %,"48,423",7.3%
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"12,92,500","6,52,074",50.5 %,"1,36,813",21.0%
5,Ahmednagar,39,GEN,Maharashtra,E.V. Alias Balasaheb Vikhe Patil,Shiv Sena,"11,25,233","6,71,532",59.7 %,"14,245",2.1%
6,Ajmer,12,GEN,Rajasthan,Prabha Thakur,Indian National Congress,"10,44,404","6,15,621",58.9 %,"5,772",0.9%
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,"12,25,461","7,58,980",61.9 %,"25,179",3.3%
8,Akola,19,GEN,Maharashtra,Ambedkar Prakash Yashawant,Republican Party Of India,"11,20,511","7,33,223",65.4 %,"32,782",4.5%
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,"12,42,318","6,24,474",50.3 %,"1,31,699",21.1%
10,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,23,567","8,27,362",80.8 %,"1,95,599",23.6%
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Dr. Murli Manohar Joshi,Bharatiya Janta Party,"14,09,229","6,76,551",48.0 %,"43,290",6.4%
12,Alleppey,15,GEN,Kerala,V.M. Sudheeran,Indian National Congress,"9,89,265","7,64,807",77.3 %,"40,637",5.3%
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,"9,55,400","4,43,737",46.5 %,"81,903",18.5%
14,Alwar,8,GEN,Rajasthan,Ghasi Ram Yadav,Indian National Congress,"11,25,267","6,58,873",58.6 %,"2,561",0.4%
15,Amalapuram,9,SC,Andhra Pradesh,Ganti Mohana Chandra Balayogi,Telugu Desam,"8,97,362","6,66,177",74.2 %,"90,240",13.5%
16,Ambala,1,SC,Haryana,Aman Kumar Nagra,Bahujan Samaj Party,"10,92,422","7,48,313",68.5 %,"2,864",0.4%
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sanjay Singh,Bharatiya Janta Party,"11,12,191","5,97,556",53.7 %,"23,270",3.9%
18,Amravati,21,GEN,Maharashtra,Ramkrushna Suryabhan Gawai,Republican Party Of India,"11,22,524","6,21,643",55.4 %,"13,859",2.2%
19,Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,"8,23,988","5,15,939",62.6 %,"1,22,173",23.7%
20,Amritsar,2,GEN,Punjab,Daya Singh Sodhi,Bharatiya Janta Party,"11,98,245","6,50,837",54.3 %,"91,140",14.0%
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chetan Chauhan,Bharatiya Janta Party,"12,02,795","7,95,861",66.2 %,"65,515",8.2%
22,Anakapalli,6,GEN,Andhra Pradesh,Gurunadha Rao Gudivada,Indian National Congress,"10,24,801","7,43,582",72.6 %,"25,925",3.5%
23,Anand,20,GEN,Gujarat,Chavda Ishvarbhai Khodabhai,Indian National Congress,"10,28,911","6,74,215",65.5 %,"38,056",5.6%
24,Anantapur,25,GEN,Andhra Pradesh,Anantha Venkatarami Reddy,Indian National Congress,"12,13,025","6,88,126",56.7 %,"82,398",12.0%
25,Anantnag,3,GEN,Jammu & Kashmir,Mufti Mohmad Sayeed,Indian National Congress,"8,04,983","2,26,597",28.2 %,"52,000",22.9%
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"2,32,013","1,47,698",63.7 %,544,0.4%
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Rajveer Singh,Bharatiya Janta Party,"10,21,105","5,67,219",55.6 %,"8,022",1.4%
28,Arakkonam,6,SC,Tamil Nadu,Gopal C,All India Anna Dravida Munnetra Kazhagam,"10,72,687","7,21,536",67.3 %,"49,488",6.9%
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"11,16,151","9,40,359",84.3 %,"1,87,300",19.9%
30,Araria,22,SC,Bihar [1947 - 1999],Ramje Das Rishideo,Bharatiya Janta Party,"10,44,252","6,90,540",66.1 %,"33,937",4.9%
31,Arrah,36,GEN,Bihar [1947 - 1999],H.P.Singh,Samata Party,"11,17,509","7,36,254",65.9 %,"58,164",7.9%
32,Arunachal East,2,GEN,Arunachal Pradesh,Wangcha Rajkumar,Arunachal Congress,"2,41,511","1,38,059",57.2 %,"27,437",19.9%
33,Arunachal West,1,GEN,Arunachal Pradesh,Omak Apang,Arunachal Congress,"3,24,110","1,96,646",60.7 %,"45,105",22.9%
34,Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),"12,42,690","8,83,829",71.1 %,"26,149",3.0%
35,Aska,10,GEN,Orissa,Naveen Patnaik,Biju Janata Dal,"11,48,338","5,85,846",51.0 %,"86,211",14.7%
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Sushil Kumar Singh,Samata Party,"10,91,703","6,98,062",63.9 %,"86,293",12.4%
37,Aurangabad,33,GEN,Maharashtra,Ramkrishna Baba Patil,Indian National Congress,"13,41,648","8,23,766",61.4 %,"30,126",3.7%
38,Autonomous District,3,ST,Assam,Dr. Jayanta Rongpi,Autonomous State Demand Committee,"5,35,347","4,05,655",75.8 %,"1,04,864",25.9%
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Akbar Ahmad Dampy,Bahujan Samaj Party,"12,08,030","6,67,489",55.3 %,"5,365",0.8%
40,Badagara,3,GEN,Kerala,A.K. Premajam,Communist Party Of India (MARXIST),"11,25,076","8,45,229",75.1 %,"59,161",7.0%
41,Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Samata Party,"10,28,588","5,47,334",53.2 %,"45,743",8.4%
