#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,P.Narasa Reddy,Indian National Congress,"8,88,183","5,80,382",65.3 %,"44,365",7.6%
2,Adoor,17,GEN,Kerala,Kodikunnil Suresh,Indian National Congress,"8,80,093","6,92,830",78.7 %,"21,542",3.1%
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Ajay Singh,Janata Dal,"8,87,625","3,80,736",42.9 %,"76,469",20.1%
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"9,96,893","5,84,719",58.7 %,"1,47,357",25.2%
5,Ahmednagar,39,GEN,Maharashtra,Gadakh .Y.K.,Indian National Congress,"9,84,397","5,46,602",55.5 %,"1,53,745",28.1%
6,Ajmer,12,GEN,Rajasthan,Rasa Singh,Bharatiya Janta Party,"9,31,802","5,55,731",59.6 %,"1,08,039",19.4%
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Awadh,Janata Dal,"9,56,387","5,33,057",55.7 %,"85,834",16.1%
8,Akola,19,GEN,Maharashtra,Phundkar Pandurang Pundlik,Bharatiya Janta Party,"9,30,019","6,68,771",71.9 %,"1,51,369",22.6%
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Satya Pal Malik,Janata Dal,"9,28,632","4,69,410",50.6 %,"78,408",16.7%
10,Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,"9,06,362","7,18,825",79.3 %,"85,643",11.9%
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Janeshwar Mishra,Janata Dal,"9,61,318","4,29,188",44.7 %,"38,940",9.1%
12,Alleppey,15,GEN,Kerala,Vakkom Purushotham,Indian National Congress,"8,84,874","7,50,995",84.9 %,"25,123",3.3%
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh Rawat,Indian National Congress,"8,50,800","3,72,715",43.8 %,"10,801",2.9%
14,Alwar,8,GEN,Rajasthan,Ramji Lal Yadav,Janata Dal,"9,51,686","4,60,604",48.4 %,"88,515",19.2%
15,Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishna Murty,Indian National Congress,"8,35,700","6,48,504",77.6 %,"54,781",8.4%
16,Ambala,1,SC,Haryana,Ram Parkash,Indian National Congress,"8,99,299","5,81,089",64.6 %,"22,649",3.9%
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,"9,10,177","4,25,746",46.8 %,"2,02,138",47.5%
18,Amravati,21,GEN,Maharashtra,Sudam Deshmukh,Communist Party Of India,"9,29,879","5,40,642",58.1 %,"1,40,239",25.9%
19,Amreli,7,GEN,Gujarat,Manubhai Kotadiya,Janata Dal,"8,08,611","4,73,467",58.6 %,"1,19,892",25.3%
20,Amritsar,2,GEN,Punjab,Kirpal Singh,Independent,"9,94,500","5,88,238",59.2 %,"1,23,213",20.9%
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Har Govind,Janata Dal,"9,24,732","5,59,200",60.5 %,"1,48,082",26.5%
22,Anakapalli,6,GEN,Andhra Pradesh,Konathala Ramakrishna,Indian National Congress,"8,93,262","6,59,253",73.8 %,9,0.0%
23,Anand,20,GEN,Gujarat,Patel Nathubhai Manibhai,Bharatiya Janta Party,"8,96,601","5,85,683",65.3 %,"70,299",12.0%
24,Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Reddy,Indian National Congress,"10,13,902","6,76,218",66.7 %,"59,482",8.8%
25,Anantnag,3,GEN,Jammu & Kashmir,P.L.Handoo,Jammu & Kashmir National Conference,"7,36,495","37,377",5.1 %,"35,869",96.0%
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"1,60,940","1,15,403",71.7 %,"18,914",16.4%
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Raj Veer Singh,Bharatiya Janta Party,"8,14,530","4,41,446",54.2 %,"78,489",17.8%
28,Arakkonam,6,SC,Tamil Nadu,"Jeevarathinam, R.",Indian National Congress,"9,75,104","7,12,528",73.1 %,"62,393",8.8%
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"9,45,549","8,12,748",86.0 %,"64,498",7.9%
30,Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Janata Dal,"9,17,760","5,69,501",62.1 %,"72,655",12.8%
31,Arrah,36,GEN,Bihar [1947 - 1999],Rameshwar Prasad,Indian Peoples Front,"10,60,759","5,57,507",52.6 %,"16,440",2.9%
32,Arunachal East,2,GEN,Arunachal Pradesh,Laeta Umbrey,Indian National Congress,"1,93,555","1,27,260",65.8 %,"32,614",25.6%
33,Arunachal West,1,GEN,Arunachal Pradesh,Prem Khandu Thungon,Indian National Congress,"2,82,496","1,54,405",54.7 %,"7,746",5.0%
34,Asansol,38,SC,West Bengal,Haradhan Roy,Communist Party Of India (MARXIST),"11,04,458","7,71,578",69.9 %,"42,237",5.5%
35,Aska,10,GEN,Orissa,Ananta Narayan Singh Deo,Janata Dal,"9,85,245","5,37,400",54.5 %,"1,30,295",24.2%
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Ram Naresh Singh,Janata Dal,"9,75,199","5,74,035",58.9 %,"57,082",9.9%
37,Aurangabad,33,GEN,Maharashtra,Moroshwar Save,Independent,"11,45,802","6,86,825",59.9 %,"17,824",2.6%
38,Autonomous District,3,ST,Assam,Data Not Available,-,-,-,-,-,-
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Ram Kishana,Bahujan Samaj Party,"9,62,986","4,64,503",48.2 %,"9,081",2.0%
40,Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),"9,84,309","7,95,853",80.9 %,"8,209",1.0%
41,Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Janata Dal,"8,71,641","3,95,345",45.4 %,"88,032",22.3%
42,Bagalkot,27,GEN,Karnataka,Patil Subhash Tammannappa,Indian National Congress,"9,56,206","6,63,239",69.4 %,"32,238",4.9%
43,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Ajeet Singh,Janata Dal,"9,22,288","5,78,085",62.7 %,"2,44,647",42.3%
44,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Arif Mohd. Khan,Janata Dal,"9,15,618","3,69,252",40.3 %,"21,639",5.9%
45,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Kankar Munjare,Independent,"7,91,000","5,33,206",67.4 %,"10,466",2.0%
46,Balasore,2,ST,Orissa,Samarendra Kundu,Janata Dal,"9,66,388","6,57,153",68.0 %,"1,17,804",17.9%
47,Balia,19,GEN,Bihar [1947 - 1999],Suryanarayan Singh,Communist Party Of India,"9,06,074","5,24,873",57.9 %,"1,61,449",30.8%
48,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Janata Dal,"9,88,096","4,99,485",50.6 %,"90,981",18.2%
49,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Fasiuraahmanaliyas Munnan Khan,Independent,"9,42,209","5,29,421",56.2 %,"29,306",5.5%
50,Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,"9,48,682","7,95,507",83.9 %,"33,526",4.2%
51,Banaskantha,14,GEN,Gujarat,Shah Jayantilal Virchandbhai,Janata Dal,"8,95,911","5,73,929",64.1 %,"2,50,251",43.6%
52,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Sajiwan,Communist Party Of India,"8,68,718","4,07,295",46.9 %,"27,247",6.7%
53,Bangalore North,12,GEN,Karnataka,C.K.Jaffer Sharieff,Indian National Congress,"13,28,013","7,81,199",58.8 %,"1,07,124",13.7%
54,Bangalore South,13,GEN,Karnataka,R.Gundu Rao,Indian National Congress,"13,12,751","7,44,332",56.7 %,"2,39,854",32.2%
55,Banka,29,GEN,Bihar [1947 - 1999],Pratap Singh,Janata Dal,"9,55,374","5,40,071",56.5 %,"2,16,615",40.1%
56,Bankura,35,GEN,West Bengal,Basudeb Acharia,Communist Party Of India (MARXIST),"9,15,339","6,94,886",75.9 %,"1,24,398",17.9%
